Accession	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
MIMAT0000062	1.346299	2.003885	0.6608959	1.50731	0.7545846	0.5284576	1.165228	2.667045	0.9530634	2.319239	0.8717084	1.846422
MIMAT0004481	0.6026299	0.6294562	0.574231	1.399305	0.6307046	0.6331234	0.9449024	0.3816371	0.5014821	0.5404218	0.4975903	0.687703
MIMAT0010195	0.3070756	0.8386027	0.4414208	0.5820797	1.249919	0.7697435	0.771319	0.4214908	0.5475339	0.3071415	0.2378159	1.180906
MIMAT0000063	6.061454	5.652126	5.353865	4.968863	4.538011	4.320163	5.286527	6.779157	6.060309	6.677922	3.805759	5.548033
MIMAT0004482	0.8556948	0.9124139	0.540792	1.635028	1.480534	0.8345844	1.310227	0.808212	0.8233412	0.9239019	0.5954192	0.885747
MIMAT0000064	3.908878	3.855124	3.052007	0.7027333	3.312224	2.850487	2.821665	4.791141	4.219899	5.333832	1.417118	4.282038
MIMAT0026472	0.2905931	0.7688593	0.3236482	0.7733005	0.594539	0.5190529	0.7102168	0.1126179	0.1647909	0.4551544	0.1629656	0.3409022
MIMAT0000065	2.255677	1.76492	2.525449	1.267594	1.271595	1.007024	2.231703	3.324016	2.953726	3.827305	2.321509	2.540041
MIMAT0004484	0.9336145	0.2250239	0.6909161	0.3766739	0.768567	0.6592671	1.349816	0.562584	0.1912411	0.623715	0.7732327	1.163545
MIMAT0000066	1.30985	0.8807056	0.5911679	1.318861	0.9075083	0.6391586	0.7227604	0.6749619	0.6401197	0.7229398	0.8201363	0.9448819
MIMAT0004485	0.223812	0.2064118	0.3493766	1.399305	0.7995173	0.2202528	0.4918409	0.4285209	0.3908882	0.1651483	0.6355003	0.4846521
MIMAT0000067	0.957962	1.112733	0.5379259	0.5438051	0.9150662	0.617814	0.6832664	0.3729833	0.212681	0.7865157	0.7635875	0.6758114
MIMAT0004486	0.6199713	0.9124139	0.6091778	1.759091	1.5366	0.8872809	0.8156068	0.2459473	0.8244489	0.9584951	0.517636	0.9325624
MIMAT0004487	0.2905931	0.1902419	0.3376072	1.32831	0.4265531	0.2986964	0.9622439	0.08036768	0.4448948	0.1769342	0.08052993	0.5688865
MIMAT0000068	1.288582	0.3840872	0.7039915	0.886821	1.332259	0.3998431	0.906382	0.058366	0.6107026	0.8142376	0.450167	0.9448819
MIMAT0004488	0.290593	0.8857853	0.6021993	0.8613418	0.9126381	0.634261	0.6997133	0.3513348	0.393857	0.3564586	1.042433	0.5516634
MIMAT0000069	8.726101	5.780115	8.066419	6.963799	6.735282	4.159821	6.573933	6.574265	5.833241	6.640482	7.189002	7.311643
MIMAT0004489	0.290593	0.5030724	0.8033593	0.5736219	0.9374167	0.6235408	0.6002072	0.4514626	0.1433179	0.814505	1.102054	0.2062392
MIMAT0000070	4.71477	1.572063	3.199806	3.013206	2.417931	1.565536	3.649739	3.971504	2.177827	3.920348	1.913886	3.663604
MIMAT0000071	1.186029	0.5893427	0.08952013	1.041312	1.088912	0.3998431	0.9174457	0.5258362	0.4635503	0.3307347	0.5757807	0.5259395
MIMAT0000072	0.2763304	0.4217938	0.9760309	0.6401471	0.6133218	0.525278	0.71557	0.3459158	0.5158889	0.598709	0.7222065	1.057448
MIMAT0002891	0.6199713	0.3765479	0.4872385	0.8501309	0.5261067	0.5123217	0.4191306	0.2074575	0.2700149	0.3451208	0.1036293	0.8281575
MIMAT0004490	0.2467128	0.3100761	0.7203748	0.1006248	0.759243	0.8872809	0.8660201	0.3521358	0.3159713	0.3598611	0.2591296	0.5298244
MIMAT0000073	0.9020029	0.5980968	1.212605	1.377806	1.151017	0.8508571	0.4558207	0.3463699	0.6935282	0.5973753	1.067727	1.178671
MIMAT0004491	0.1187153	0.09854251	0.4647452	0.9797369	0.775184	0.6153728	0.5334062	0.2510594	0.4048812	0.3071415	0.3944594	0.4544227
MIMAT0000074	2.237718	1.798591	1.510717	1.302016	3.200316	0.634261	2.002704	1.777769	1.027691	2.397606	1.800659	2.683898
MIMAT0004492	0.4218126	0.2938096	0.2751522	1.072453	1.093507	0.634261	0.8309329	0.08373171	1.140228	0.02952129	0.1524622	0.8762264
MIMAT0000075	3.295133	1.234332	2.596995	1.882636	3.174864	0.9059556	2.344659	2.284559	1.888001	3.959016	1.03982	2.988428
MIMAT0004493	0.09136313	0.3160652	0.727957	0.7288078	1.038396	0.8396581	0.6650938	0.4909551	0.8244489	0.6974912	1.437166	0.7868687
MIMAT0000076	0.5379767	0.3160652	0.5318447	1.399305	0.8664665	0.3784702	0.8942896	0.3128369	0.2664264	0.2548369	0.5495909	0.3864684
MIMAT0004494	0.4521325	0.7161721	0.2306993	0.886821	0.6561207	0.4847488	0.2702611	0.230542	0.2320356	0.4367503	0.6000369	0.6665817
MIMAT0004495	0.6142339	0.4910563	0.9028655	1.201398	0.8188102	0.7904804	0.6939759	0.07382828	0.01154238	0.5245805	0.7914691	0.4544227
MIMAT0000077	2.818997	0.7838695	1.533442	2.189035	3.292015	0.2279093	1.247712	1.04018	0.8316437	0.8269472	1.15965	1.639674
MIMAT0004496	0.4114137	0.3799836	0.3376072	0.6782633	0.425451	0.634261	0.7196811	-0.001100153	0.5158889	0.1504313	-0.09642792	0.8883878
MIMAT0000078	0.7578773	0.5612065	0.9028655	1.182773	2.150197	1.157064	0.9681927	2.885118	1.053985	3.049577	0.5835972	2.025549
MIMAT0000079	0.5537741	0.3160652	1.213938	0.9279284	0.831979	0.3998431	0.7176455	0.05444109	-0.04116857	0.3430055	0.4863489	0.4544227
MIMAT0000080	2.315301	0.6025785	1.020463	0.8868209	2.170033	0.6186374	0.4361149	1.401031	0.9502937	1.545308	1.186659	1.573566
MIMAT0004497	0.9603257	0.5884953	0.826634	1.323073	0.9273791	0.5707874	0.6926718	0.3784174	0.6713509	0.3339893	0.5687391	0.2368378
MIMAT0004498	0.2905931	0.748255	0.7387066	0.7226621	0.7824095	1.033976	0.5655011	0.3925008	0.4324647	0.7498524	1.513859	1.495961
MIMAT0000081	1.687355	2.847192	1.136941	0.8715074	3.249816	1.098174	1.240517	4.414659	2.815737	3.197045	1.053748	2.384051
MIMAT0000082	0.4916372	1.163495	1.848825	0.811	1.490012	0.3817585	0.9681954	3.276335	0.7843709	1.973807	0.7382063	0.7229046
MIMAT0004499	0.307839	0.5484909	-0.05560446	1.095684	0.6307999	0.5836601	0.5360472	0.2247035	0.1779479	0.3460508	0.5930268	0.5346491
MIMAT0000083	0.7461095	0.1135293	0.7003295	0.684285	0.7318848	0.634261	0.6584493	0.5951293	1.188622	0.3434243	0.3499406	0.4622949
MIMAT0004500	0.6784237	0.2777059	1.533442	0.9779599	1.014945	0.490982	0.2897667	0.4836396	0.4775296	0.3762086	1.030702	0.512875
MIMAT0004501	0.3247408	0.4565704	0.3351556	0.2176869	0.5158086	0.3998431	0.6972618	0.1538185	0.3053554	0.4664716	0.3553534	0.6642395
MIMAT0000084	0.6472611	0.5413435	0.6537799	0.5238513	0.821973	0.4271329	0.6997135	0.3711005	0.2593254	0.5429407	0.3370638	0.3592751
MIMAT0000085	0.5867875	0.2089298	0.3851134	0.6627566	1.109334	0.3051383	0.846868	0.1970735	0.2320355	0.5121834	0.5648159	0.5344681
MIMAT0004502	0.577062	0.2186342	-0.04633713	-0.1936099	0.3908867	0.5033366	0.6997134	0.1645482	0.05849859	0.3071415	0.4300829	0.7703843
MIMAT0004503	0.6200698	0.5922592	0.3326869	0.7388062	0.6481445	0.5445024	0.6998119	0.09245229	0.5158889	0.5031078	0.8140272	0.8433046
MIMAT0000086	0.5283314	0.9396311	0.2012216	1.373785	0.8857844	0.3236073	0.7182788	0.4451959	0.746638	0.3071414	0.7362162	0.3766117
MIMAT0000087	0.6199714	0.3878582	0.4661213	0.6363544	0.9344208	0.4207902	0.743206	0.3214965	0.2654224	0.4356556	0.5919109	0.4581664
MIMAT0000088	0.6924962	0.38859	0.3276396	0.3737307	0.6718525	0.2567575	0.4558207	-0.03974825	0.3137974	0.3103856	0.2874573	0.2188878
MIMAT0000089	1.032274	0.1968756	1.213938	1.09002	0.7715587	0.3998431	0.618012	0.4147969	0.6615869	0.6938391	0.8140272	1.186676
MIMAT0004504	0.1287992	0.4044505	0.3376072	0.938872	0.648046	0.5047661	1.042389	0.3961655	0.6531109	0.3591924	0.4925753	1.13204
MIMAT0000090	0.9350069	0.9124139	2.107409	1.836617	1.742554	0.1500636	0.6494548	0.4010916	0.4764867	0.5007756	0.9581375	2.203069
MIMAT0004505	0.2088681	0.5485274	0.5551267	1.699278	0.9344208	0.8428077	0.6997134	0.5385385	0.7901981	0.5644581	0.5639	0.4429257
MIMAT0000091	0.6199714	0.3248396	0.3594192	1.419022	0.6756029	0.4541316	0.516713	0.4512227	0.8244489	0.04163295	0.6482618	0.9133543
MIMAT0004506	0.6147495	0.6331794	0.6026633	0.8803065	0.6786469	0.2150002	0.7303143	0.2022357	0.484176	0.3019196	0.6074938	0.7211952
MIMAT0004507	1.114453	0.3160651	0.6276061	0.8868209	0.7759826	0.40763	0.6869845	0.1644456	0.2320355	0.4471853	0.351297	0.5823593
MIMAT0000092	8.878651	6.621592	6.539075	6.367532	7.939743	5.287103	7.537769	7.842663	6.775187	9.079712	6.273811	7.642511
MIMAT0004508	0.6000578	0.5380626	0.5802106	1.129424	0.8859828	0.5249593	0.5690607	0.4500608	0.6897851	0.2842363	1.146706	1.069998
MIMAT0000093	5.073223	1.453529	3.513979	2.01106	3.618805	0.8158903	2.817102	3.16032	2.403121	2.845674	1.63173	3.215724
MIMAT0004509	0.2905931	0.3275506	0.08952016	1.278391	0.3826945	0.4291685	0.7006257	0.4056951	0.3949752	0.0425452	-0.1027591	0.3733682
MIMAT0026473	0.3987846	0.166182	0.7204193	0.2090552	0.7935517	0.8872809	0.8079049	0.2616379	0.7164135	0.4183829	0.1524622	0.7495966
MIMAT0000094	0.606961	0.3235713	0.6355417	0.3574304	0.6555521	0.1842326	0.7193991	0.1999513	0.2245294	0.06429663	0.1050303	0.5933869
MIMAT0000095	0.0006712973	0.3646833	0.3862253	0.8959149	0.9344208	0.3238888	0.5954769	0.1629525	0.9379606	0.3557596	0.1079571	0.9852777
MIMAT0004510	0.839878	0.5359718	0.9028654	0.7648499	0.9788157	0.2250452	0.5860004	0.2518524	0.6460687	0.5270481	0.7059605	0.7349893
MIMAT0000096	0.6464587	0.1965192	0.1160075	0.9316046	1.282229	0.5147151	0.6997133	-0.01505774	0.5423763	0.2837103	0.6944813	1.076433
MIMAT0022842	0.03032157	0.1077932	0.6271588	0.4514114	0.7156326	0.2518192	0.494565	-0.05392355	0.3890394	0.4667474	0.5757807	0.2183955
MIMAT0000097	0.3415451	0.2947298	0.935512	0.6083947	0.7158732	0.4579803	0.5139579	0.1861221	0.2320356	0.2858061	0.2202894	0.7584215
MIMAT0004511	0.2905931	0.3704584	0.1974581	0.191754	0.4906324	0.4662133	0.5221909	0.2343305	0.2984058	0.3071415	0.3845261	0.3295246
MIMAT0000098	-0.01102209	0.2641726	0.3075626	0.8142635	1.022934	0.5133051	0.6606287	0.5925896	0.5228337	0.3707054	0.6844259	1.403011
MIMAT0004512	0.1622743	0.7379831	0.6324514	-0.1312372	0.648046	0.3714164	0.4453916	0.01389441	0.6512934	0.08284447	0.3786269	0.7138679
MIMAT0004513	0.08709252	0.3773223	0.3855457	1.460562	0.9181208	0.2703427	0.6834135	0.03650904	0.02853507	0.127743	0.6105267	0.2930709
MIMAT0000099	0.5695438	1.154563	1.181816	1.399305	1.179664	0.9208224	0.7347714	0.429463	0.518597	0.5936176	1.616843	1.231443
MIMAT0004514	0.3206201	-0.04188052	0.08952016	0.7492948	0.7995507	0.3725306	0.6724009	0.2374846	0.3810189	0.1577232	0.3191633	0.2238226
MIMAT0000100	0.3853693	0.856972	0.6279448	0.7244492	0.9024395	0.6654066	0.7944896	0.2386031	0.6337342	0.6390905	0.4501296	0.3032292
MIMAT0004515	0.3467371	0.1110847	0.3967275	-0.09539044	0.3927878	0.2433529	0.4558207	0.0466024	0.2911559	0.3071415	0.5656874	0.295958
MIMAT0009196	0.5363048	0.8279735	0.7744323	1.399305	0.709299	0.3928578	0.6927282	0.2640675	0.8671981	0.61125	0.7220793	0.5621612
MIMAT0000101	5.092443	1.569582	3.105608	3.488267	3.450806	0.5822644	3.064403	2.843206	1.728787	3.288482	2.670166	3.189996
MIMAT0000102	0.2962805	0.3160652	0.5445699	0.3556117	0.9091141	0.3745364	0.4615082	0.3236544	0.5215764	0.645076	0.5814682	0.6905944
MIMAT0004516	0.7430623	0.2309816	0.3145728	1.366308	0.6077471	0.2116073	1.155433	0.1035425	0.7393653	0.04163289	0.8008333	0.4618903
MIMAT0000103	4.241978	2.432794	2.831577	2.552793	2.849539	1.494992	1.822975	3.651771	1.819673	4.09352	1.430444	3.463543
MIMAT0004517	0.1412152	0.3160652	0.2259444	0.4465569	0.4091946	0.9984269	0.4558207	0.03650904	0.4057624	-0.1983885	0.3553534	0.8270186
MIMAT0000104	5.011495	1.254943	4.123075	1.76648	3.061377	1.105227	2.631931	2.071488	1.767478	2.479752	1.441503	2.111099
MIMAT0004518	0.8254628	0.3641812	1.738934	0.9277409	0.8535376	0.8872809	1.240517	0.3366483	0.8255364	0.2795138	1.498918	1.21495
MIMAT0000222	0.2387393	0.2958	0.2857534	0.329659	0.738752	0.1842327	0.4848681	0.2981635	-0.05046085	0.9637361	0.523927	0.6703292
MIMAT0004543	0.6199714	0.3163159	0.08066502	1.399555	0.4592232	-0.004590154	0.5425053	-0.1403156	0.615132	0.2982863	0.4545964	1.038126
MIMAT0000226	0.6770599	0.3594497	0.4471954	-0.09105065	0.7441273	0.102494	0.5654088	0.5925897	0.7908587	0.3706015	0.4649415	0.3002977
MIMAT0022691	0.5863729	0.2824667	0.3376073	1.081368	0.6144476	0.6006626	1.474135	0.3378003	0.824449	0.5651106	0.5610148	0.6905944
MIMAT0000227	0.6815226	0.5804837	0.9028654	0.8050486	1.21535	1.015785	1.339301	0.5694082	1.381801	0.9140112	0.7919323	0.922787
MIMAT0000228	0.0520061	0.3428409	0.08408424	1.092539	0.6495558	0.3899511	0.5162495	0.3925007	0.2561513	-0.1379597	0.3160431	0.5148515
MIMAT0000231	0.247996	0.3246804	1.171341	0.4379185	1.076172	0.5811506	0.9008353	0.5342521	1.109743	1.002006	0.9020215	0.6479973
MIMAT0000232	0.1597145	0.6439012	0.4913578	0.8824534	0.6865038	0.3886261	0.7418619	0.1902597	0.01723415	0.5943415	0.5757807	0.2781603
MIMAT0026474	0.3641549	0.3160652	0.4376397	1.086698	1.437322	0.1864316	0.5558532	0.2363859	0.07425565	0.4954234	0.6758133	0.5544552
MIMAT0000241	0.3767159	0.4967037	0.4545184	0.3499242	1.152888	0.6440255	0.9622438	0.2464625	0.5548939	0.7593518	0.4525315	0.9448818
MIMAT0000242	1.04874	0.05494061	0.4887878	0.4029857	0.9301127	0.1956378	0.5481662	0.3742815	-0.09182954	0.4999336	0.5757807	0.5287535
MIMAT0004548	1.005177	1.032984	0.9028655	2.420107	0.7686158	0.3998431	0.4558207	0.3282403	0.9909713	0.7481818	1.006527	0.8504025
MIMAT0004549	0.6241959	0.3346823	0.6134024	1.471117	0.9565587	0.4094674	0.9808609	0.4776658	0.709525	0.5323762	0.3774914	0.4586473
MIMAT0000243	0.2905931	0.08489509	0.1500215	0.3499242	0.2001832	0.3070036	0.4558207	0.3028164	0.2435876	-0.01069915	0.5757807	1.208688
MIMAT0000244	0.645398	0.6193296	0.3908642	1.190085	0.7401005	0.634676	1.046197	0.5930047	0.8240671	0.6241356	0.1491909	0.5401021
MIMAT0004550	-0.1493697	1.024671	0.9743627	1.470802	0.543004	0.5601526	0.4342069	-0.05001289	0.5182103	0.3071415	0.3127717	0.570326
MIMAT0000245	0.4358268	0.6025786	0.6846166	0.886821	1.330671	0.3039046	0.7273265	0.4201139	0.9382534	0.6263222	0.3829665	0.8000218
MIMAT0004551	1.139741	0.2410479	0.3036421	1.544722	0.5791548	0.2038895	0.6246961	0.3174835	0.3973677	0.3071415	0.3263099	0.5998397
MIMAT0000250	0.6186206	0.6373105	0.3723392	1.293424	0.6480461	0.5908358	1.223997	0.3810349	0.8079294	0.3071415	0.9360799	0.6248688
MIMAT0004552	0.9288752	0.4298465	0.6465111	0.886821	0.7618273	0.1842327	1.593497	0.3663604	0.3272036	0.685718	0.4691347	1.21495
MIMAT0000251	0.688991	-0.09320748	0.2354302	0.886821	0.3588983	0.7131803	0.5248403	0.4210566	0.3202403	0.3676856	0.1905141	0.4894399
MIMAT0000252	0.1927749	0.6924949	0.6502572	1.399305	1.126507	0.3235999	0.9622439	0.4824171	0.7135109	0.3664806	0.538727	0.544339
MIMAT0004553	0.2597869	0.30125	0.2436832	0.9662285	0.4830155	0.4160814	0.9314376	0.2289937	0.3114431	0.6781165	0.4347609	0.9136218
MIMAT0004554	0.8636875	0.5597814	0.125679	0.386083	0.3538173	0.4360019	0.6082926	0.5436834	0.7596052	0.4596134	1.069061	0.7196039
MIMAT0000253	0.7862718	0.221241	0.1913632	1.224452	1.006151	0.4715737	0.6997133	0.4105321	1.355414	0.8017836	0.5757807	0.6905943
MIMAT0004555	0.3228198	0.05494058	0.3740072	1.008429	0.5043026	0.6664878	0.4645427	0.2396843	0.2842132	0.3797154	0.5757807	0.4544226
MIMAT0000254	0.2905931	0.2594774	0.4780637	0.7908139	0.8276253	0.6186904	1.145343	0.3105557	0.6729252	0.6454207	0.08676285	0.9380298
MIMAT0004556	0.5489425	0.3617746	0.3157339	1.155921	0.6565107	0.6581926	0.9328111	0.08479512	0.8329136	0.598709	0.3553534	0.7014983
MIMAT0000255	0.1725072	0.1979793	0.491092	0.5926263	0.4767918	0.3280957	1.061209	0.3320641	0.4028677	0.5382724	0.3951643	0.6301578
MIMAT0004557	0.3348187	0.6613555	0.4927171	1.03303	1.237445	0.2430095	0.7601981	0.112271	0.03557026	0.4142107	0.1673515	0.4598656
MIMAT0000256	0.1785682	0.4992214	0.7560216	1.422441	0.3228381	0.5852582	1.14128	0.2795154	0.7981294	0.4426585	0.9971834	0.6012664
MIMAT0004558	0.5630875	0.5208211	0.442493	0.7220188	0.8528019	0.456727	1.099677	0.08324581	0.3694687	0.4445747	0.1905512	0.9351574
MIMAT0000257	0.345288	0.9024423	0.336318	0.4311883	0.4373894	0.6712161	1.043508	0.2074575	0.5158889	1.246233	0.8687221	1.251905
MIMAT0022692	0.2127935	0.256945	0.4887444	0.09558916	0.3897818	0.38792	0.606958	0.3925008	0.43404	0.5572414	0.2775538	0.7045226
MIMAT0000258	1.649938	0.2777132	0.5770691	0.4579971	0.6480461	0.2957972	1.117128	0.5304041	0.4548081	0.968491	0.7144864	1.152765
MIMAT0004559	0.5030712	0.5790834	0.3141121	1.271596	1.21395	0.1901675	0.6762183	0.3859075	0.5147285	0.1902413	0.7593406	0.5648966
MIMAT0000259	0.9328312	0.357388	0.5453038	1.085148	0.590391	0.8238763	0.7410362	0.1440529	0.4565618	0.5393819	0.5342029	0.9372712
MIMAT0000260	0.4807204	0.3781427	0.6784295	1.174869	0.7067407	0.2527735	0.6195634	0.2745235	0.4357389	0.518559	0.5863471	0.7172018
MIMAT0000261	0.5062881	0.4888953	0.4306136	1.255555	0.6914085	0.4905114	0.8507153	0.4789064	0.4606471	0.3071414	0.5839649	0.6905944
MIMAT0004560	0.5297512	0.3160652	1.139722	0.3836632	0.7592916	0.7782747	0.3468144	0.5285019	0.8244489	0.1981351	0.8322556	0.9448819
MIMAT0004561	0.06372502	0.5899369	0.5768917	1.510643	0.5917772	0.5446374	0.5279684	0.3925007	0.5880367	0.8807276	0.5757807	0.3191631
MIMAT0000262	0.6274164	0.3242226	0.09767762	1.057118	0.4990861	0.1568518	0.969689	0.1737361	0.08307567	0.3145865	0.3635108	0.4292518
MIMAT0004562	-0.004066199	0.3782351	0.6802598	0.6624775	0.5790593	0.4099175	0.6058895	0.3682462	0.2320356	0.598709	0.3553534	0.6949509
MIMAT0000263	0.02996325	0.4415184	0.157553	1.08916	0.6426264	0.6288414	0.7821896	0.5141625	0.5104693	0.7241622	0.6385264	0.449003
MIMAT0004563	0.1597145	0.6439012	0.4913578	0.8824534	0.6865038	0.3886261	0.7418619	0.1902597	0.01723415	0.5943415	0.5757807	0.2781603
MIMAT0000264	0.4320233	0.84318	0.2971905	0.886821	0.5241247	0.4765217	0.5324993	0.352084	0.1156534	0.5178756	0.941757	0.8750782
MIMAT0000265	1.167529	0.8315996	0.5504243	1.018857	1.857311	0.3862654	0.64096	0.6215218	0.5892954	1.093124	0.7548934	0.6905944
MIMAT0022693	0.286195	1.119773	1.4139	0.6176746	0.5242509	0.1842327	0.3659371	0.1233543	-0.02577686	0.2617513	0.3066344	0.6000754
